property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,Latitude,Longitude
flat,landmark the residency,sector 103,0.9,6667.0,2,2,2,1.0,Relatively New,1222.0,0,0,0,0,0,2,44,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,mapsko royale ville★,sector 82,1.22,7176.0,3,5,3+,10.0,Relatively New,2000.0,0,1,0,1,0,1,76,"28.3935° N, 76.9600° E",28.3935,76.96
flat,shree vardhman victoria★,sector 70,1.6,8205.0,3,5,3,6.0,Relatively New,1527.0,0,1,0,0,0,2,108,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,milan cghs,sector 39,2.0,8333.0,3,3,3+,0.0,Old Property,2400.0,0,0,0,0,0,2,0,"28.4434° N, 77.0515° E",28.4434,77.0515
flat,tulip violet★,sector 69,1.78,8856.0,4,4,2,10.0,Relatively New,1819.0,0,0,0,1,0,1,156,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,mm merlin★,sector 67,3.32,14080.0,3,4,3,8.0,New Property,2016.0,0,1,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,sare crescent parc★,sector 92,0.95,5013.0,4,5,3+,13.0,Relatively New,1667.0,0,0,0,0,0,2,0,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,emaar mgf emerald estate★,sector 65,1.3,2289.0,2,2,2,7.0,Relatively New,812.0,1,0,0,0,0,2,78,"28.4030° N, 77.0690° E",28.403,77.069
flat,spaze privy at★,sector 84,1.24,6465.0,3,3,3,8.0,Relatively New,1650.0,1,0,0,0,0,1,158,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,dlf the crest★,sector 54,11.0,35223.0,4,6,3,7.0,Relatively New,2826.0,0,1,0,0,0,0,125,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,shapoorji pallonji joyville gurugram★,sector 102,2.12,16960.0,3,3,3,9.0,Relatively New,1389.0,0,0,0,0,0,2,72,"28.4750° N, 76.9715° E",28.475,76.9715
flat,unitech harmony,sector 50,2.6,9591.0,3,4,2,15.0,Relatively New,2700.0,0,1,0,0,1,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,tulip violet★,sector 69,1.3,8286.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,2,86,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,antriksh heights★,sector 84,0.9,6207.0,3,3,3+,12.0,Relatively New,1525.0,0,0,0,0,0,2,166,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,ss the leaf★,sector 85,1.25,10889.0,2,2,3+,17.0,Relatively New,1426.0,0,0,1,0,0,2,156,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,adani mk oyster grande★,sector 102,2.5,7817.0,4,5,3+,5.0,Relatively New,2894.0,0,1,0,0,0,2,76,"28.4750° N, 76.9715° E",28.475,76.9715
flat,ansal heights,sector 86,0.87,5367.0,2,2,1,12.0,New Property,1231.0,0,0,0,0,1,1,45,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,krrish florence estate,sector 70,1.25,6702.0,3,3,3,18.0,Under Construction,1688.0,0,0,0,0,0,2,51,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,"ganpati apartment  , laxman vihar phase",sector 12,0.45,523.0,2,2,1,0.0,Relatively New,8604.0,0,0,0,0,0,2,46,"28.4723° N, 77.0320° E",28.4723,77.032
flat,jmd gardens★,sector 33,3.25,7509.0,4,4,3+,17.0,Old Property,4328.0,0,1,0,0,0,1,130,"28.4420° N, 77.0207° E",28.442,77.0207
flat,godrej oasis★,sector 88a,1.0,6897.0,2,2,3,7.0,Relatively New,1450.0,1,0,0,0,0,2,72,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,signature global grand iva★,sector 103,0.5,694.0,2,2,2,10.0,Relatively New,698.0,0,0,0,0,0,2,8,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,sbtl caladium,sector 109,1.26,6542.0,3,2,3,8.0,Relatively New,1701.0,0,0,0,0,0,2,103,"28.5073° N, 77.0089° E",28.5073,77.0089
house,independent,sector 13,0.5,90.0,12,4,3,4.0,Old Property,55.0,0,0,0,0,0,2,15,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,signature global solera★,sector 107,0.28,625.0,2,2,2,14.0,Relatively New,4482.0,0,0,0,0,0,2,38,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,godrej ★,sector 79,2.0,8453.0,3,4,3+,2.0,Relatively New,2366.0,0,1,0,0,0,1,156,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,emaar mgf emerald floors premier★,sector 65,2.85,14430.0,4,4,3+,0.0,Relatively New,1975.0,1,1,0,0,0,1,151,"28.4030° N, 77.0690° E",28.403,77.069
flat,tulip violet★,sector 69,1.44,9125.0,3,3,2,1.0,Relatively New,1381.0,0,0,0,1,0,2,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,tulip violet★,sector 69,1.36,8619.0,3,3,2,12.0,Relatively New,1428.0,0,0,0,1,0,1,49,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,dlf regal gardens★,sector 90,1.25,7340.0,3,3,3,28.0,Moderately Old,1541.0,0,1,0,0,0,2,38,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,mm merlin★,sector 67,2.9,14167.0,3,3,3,0.0,Relatively New,2047.0,0,0,0,0,1,1,49,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,signature the roselia★,sector 95,0.45,879.0,2,2,2,2.0,New Property,5121.0,0,0,0,0,0,1,31,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,the close north★,sector 50,2.75,12500.0,3,3,3,3.0,Moderately Old,2400.0,0,1,0,0,0,2,110,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,2.0,New Property,1423.0,0,0,0,0,0,2,44,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,proxima tower,sector 37c,0.6,4601.0,2,2,3,5.0,Under Construction,1180.0,1,0,0,1,0,2,55,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,ambience creacions,sector 22,4.78,15469.0,3,4,3,7.0,Relatively New,2500.0,0,1,0,0,1,0,111,"28.5072° N, 77.0640° E",28.5072,77.064
flat,raheja vedaanta★,sector 108,0.7,4651.0,2,2,2,12.0,Moderately Old,1362.0,0,0,0,0,0,2,72,"28.5134° N, 76.9830° E",28.5134,76.983
flat,unitech uniworld gardens★,sector 47,2.4,11505.0,3,3,3+,10.0,Moderately Old,1888.0,0,1,0,0,0,1,120,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,mapsko mount ville★,sector 79,1.2,1538.0,3,3,3,18.0,Relatively New,1165.0,1,0,0,1,0,1,160,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,tulip violet★,sector 69,1.38,8967.0,3,3,1,12.0,Relatively New,1392.0,0,0,0,1,0,2,86,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,unitech uniworld gardens ★,sector 47,1.05,1170.0,2,2,2,3.0,Relatively New,8973.0,0,0,0,0,0,1,34,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,sare crescent parc royal greens phase,sector 92,0.65,4511.0,3,3,3,1.0,Moderately Old,1304.0,0,0,0,0,0,2,91,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,dlf the primus★,sector 82a,1.87,10395.0,3,3,3,31.0,Moderately Old,1668.0,0,0,0,1,0,2,38,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,ss the coralwood★,sector 84,1.1,5820.0,3,3,3+,12.0,Moderately Old,1710.0,0,0,0,0,0,1,104,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,shree vardhman victoria★,sector 70,1.6,8205.0,3,5,3,6.0,Relatively New,1950.0,0,1,0,0,0,2,174,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,emaar palm gardens★,sector 83,1.38,8023.0,3,3,3,5.0,Relatively New,1350.0,0,1,0,0,0,1,8,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,ambience creacions,sector 22,3.2,11498.0,3,4,3+,2.0,New Property,2517.0,0,0,0,0,0,2,42,"28.5072° N, 77.0640° E",28.5072,77.064
flat,green court★,sector 90,0.5,926.0,2,2,1,8.0,New Property,650.0,0,0,0,0,0,2,42,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,experion windchants★,sector 112,3.0,11538.0,3,3,2,2.0,Relatively New,2600.0,0,0,0,0,1,1,49,"28.5189° N, 77.0183° E",28.5189,77.0183
flat,rose apartment,sector 28,3.0,10482.0,3,5,3+,8.0,Old Property,2590.0,0,0,0,0,0,2,0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,ireo victory valley★,sector 67,3.5,14583.0,3,4,3,24.0,Relatively New,2490.0,0,1,0,1,0,1,149,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,tulip violet★,sector 69,1.9,9453.0,4,4,2,0.0,Relatively New,1819.0,0,0,0,0,0,2,49,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,rof ananda,sector 95,0.38,656.0,2,2,2,5.0,Relatively New,5796.0,1,0,0,0,0,2,83,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,conscient heritage max★,sector 102,2.15,9307.0,3,4,3,13.0,Relatively New,1945.0,1,1,0,0,0,2,101,"28.4750° N, 76.9715° E",28.475,76.9715
flat,tulip violet★,sector 69,1.46,9252.0,3,3,2,0.0,Relatively New,1428.0,0,0,0,1,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,godrej oasis★,sector 88a,1.19,10162.0,2,2,3,15.0,Relatively New,1387.0,1,0,0,1,0,1,174,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,aditya apartment,manesar,1.0,4032.0,3,4,0,3.0,New Property,2480.0,0,0,0,0,0,2,0,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,antriksh heights★,sector 84,0.79,4580.0,3,3,3+,8.0,New Property,1561.0,0,0,0,0,0,2,24,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,godrej aria★,sector 79,1.69,8522.0,3,3,2,7.0,Relatively New,1795.0,0,0,0,0,0,2,112,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,indiabulls enigma,sector 110,4.0,9850.0,4,4,3,17.0,New Property,4061.0,0,0,0,0,0,2,59,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,smart world gems,sector 89,1.16,10498.0,3,2,3,1.0,New Property,998.0,1,0,0,0,0,2,49,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,smart world gems,sector 89,0.95,8597.0,2,2,2,4.0,New Property,1105.0,1,1,0,0,0,2,38,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,emaar mgf palm hills★,sector 77,1.25,8621.0,3,4,3,1.0,Relatively New,1450.0,0,1,0,0,0,1,104,"28.3801° N, 76.9845° E",28.3801,76.9845
flat,emaar mgf the palm drive★,sector 66,3.98,18091.0,3,4,3+,2.0,Moderately Old,2200.0,0,1,0,0,0,1,123,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,ireo uptown★,sector 66,1.85,12568.0,2,3,3,16.0,Relatively New,1470.0,0,1,0,0,1,1,79,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,dlf city plots phase,sector 24,6.5,18571.0,4,5,3+,3.0,New Property,3500.0,0,1,0,0,0,0,42,"28.4939° N, 77.1038° E",28.4939,77.1038
flat,vatika gurgaon ★,sector 83,1.19,7438.0,3,3,2,10.0,Relatively New,1600.0,0,1,0,0,0,1,35,"28.3986° N, 76.9647° E",28.3986,76.9647
house,ss omnia,sector 86,0.42,84.0,5,3,2,3.0,Relatively New,50.0,0,0,0,0,0,2,0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,satya the hermitage★,sector 103,0.8,5517.0,2,2,0,10.0,Relatively New,1450.0,0,0,0,0,0,2,0,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,supertech hues,sector 68,1.0,8475.0,2,2,3,23.0,New Property,1180.0,0,0,0,0,0,2,49,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,ats tourmaline★,sector 109,1.5,6977.0,3,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,2,39,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,dlf the primus★,sector 82a,1.85,10176.0,3,3,3,15.0,Moderately Old,1677.0,0,0,0,0,1,2,38,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,sobha city,sector 108,2.95,14728.0,3,4,2,12.0,Relatively New,2003.0,0,0,0,0,0,2,49,"28.5134° N, 76.9830° E",28.5134,76.983
flat,ild greens★,sector 37c,0.9,5614.0,3,3,3,0.0,Under Construction,1500.0,0,0,0,0,0,2,66,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,ireo victory valley★,sector 67,3.05,12650.0,3,3,3+,21.0,Relatively New,2029.0,0,1,0,0,0,1,157,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,kiran residency,sector 56,1.54,8324.0,3,4,3+,5.0,Old Property,1900.0,0,1,0,0,0,1,98,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,dlf the primus★,sector 82a,2.25,10714.0,3,3,3+,29.0,Relatively New,2100.0,0,1,0,0,0,0,72,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,bptp park generations★,sector 37d,1.5,9868.0,3,2,3+,17.0,Relatively New,1376.0,0,0,0,0,0,2,42,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,tulip violet★,sector 69,1.7,8445.0,4,4,2,7.0,Relatively New,1819.0,0,0,0,0,0,2,128,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,mm heights,sector 65,2.8,14997.0,3,3,3,20.0,Under Construction,1867.0,0,0,0,0,0,2,91,"28.4030° N, 77.0690° E",28.403,77.069
flat,bestech park view residency★,sector 2,1.02,7208.0,2,2,3,11.0,Moderately Old,1281.0,0,0,0,0,0,2,92,"28.5095° N, 77.0320° E",28.5095,77.032
flat,raheja atharva★,sector 109,0.79,881.0,3,2,2,3.0,Relatively New,1213.0,0,0,0,0,0,1,44,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,bptp terra★,sector 37d,1.5,8255.0,3,3,3,12.0,Relatively New,1686.0,0,0,0,0,1,2,49,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,signature global infinity mall,sector 36,0.41,697.0,2,2,3,3.0,Relatively New,5886.0,0,0,0,0,0,2,0,"28.4160° N, 76.9914° E",28.416,76.9914
flat,smart world orchard,sector 61,2.0,12912.0,3,3,2,3.0,New Property,1549.0,0,0,0,0,1,2,61,"28.4050° N, 77.0963° E",28.405,77.0963
flat,adani mk oyster grande★,sector 102,2.5,7817.0,4,5,3+,10.0,Relatively New,2600.0,0,1,0,1,0,1,174,"28.4750° N, 76.9715° E",28.475,76.9715
flat,prime habitat,sector 99a,0.27,673.0,2,2,1,10.0,Relatively New,4014.0,0,0,0,0,0,2,67,"28.4561° N, 76.9542° E",28.4561,76.9542
flat,emaar mgf emerald floors premier★,sector 65,2.35,14242.0,3,3,3,2.0,Relatively New,1493.0,1,1,0,0,0,1,168,"28.4030° N, 77.0690° E",28.403,77.069
flat,ramprastha the edge towers★,sector 37d,0.8,988.0,2,2,3,10.0,Relatively New,1310.0,0,0,0,0,1,2,166,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,puri diplomatic greens★,sector 111,3.7,12542.0,4,5,3+,12.0,Relatively New,2650.0,0,1,0,0,0,1,158,"28.5238° N, 77.0320° E",28.5238,77.032
flat,corona gracieux,sector 76,1.05,5949.0,3,3,3+,7.0,Relatively New,1597.0,0,0,0,0,0,1,133,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,ss the coralwood★,sector 84,1.1,4857.0,3,3,2,9.0,Relatively New,1584.0,0,0,0,0,0,2,75,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,ss the leaf★,sector 85,1.22,1480.0,2,2,3,16.0,Relatively New,1300.0,0,0,1,0,0,2,81,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,vipul lavanya★,sector 81,1.28,7175.0,3,3,3,1.0,Moderately Old,1784.0,0,1,0,1,0,1,49,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,ss,sector 85,1.19,7121.0,2,2,3,11.0,Relatively New,1670.0,0,0,0,0,0,2,49,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,ats tourmaline★,sector 109,2.1,8124.0,3,4,3+,11.0,Relatively New,2100.0,0,1,0,0,0,1,165,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,ansal heights,sector 86,0.78,5735.0,2,2,2,8.0,New Property,1360.0,0,0,0,0,0,2,72,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,vatika sovereign park,sector 99,3.2,9922.0,4,4,0,5.0,Under Construction,3225.0,0,0,0,0,0,2,23,"28.4640° N, 76.9614° E",28.464,76.9614
flat,pioneer araya★,sector 62,7.56,18000.0,4,4,3+,23.0,Relatively New,4200.0,0,1,0,1,0,1,87,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,bestech altura,sector 79,1.72,8398.0,3,4,3,9.0,New Property,2048.0,0,0,0,0,0,2,49,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,godrej frontier★,sector 80,1.1,5705.0,3,3,3,8.0,Moderately Old,1580.0,0,1,0,0,0,2,111,"28.3659° N, 76.9557° E",28.3659,76.9557
flat,emaar gurgaon greens★,sector 102,1.52,9212.0,3,3,3,7.0,Relatively New,1315.0,0,1,0,0,0,1,137,"28.4750° N, 76.9715° E",28.475,76.9715
flat,ats triumph★,sector 104,2.55,13077.0,4,4,3+,21.0,Relatively New,2509.0,0,1,0,0,0,2,150,"28.4788° N, 76.9960° E",28.4788,76.996
flat,ireo the grand arch★,sector 58,2.2,13480.0,2,2,1,5.0,Relatively New,1432.0,1,0,0,0,0,1,94,"28.4200° N, 77.1105° E",28.42,77.1105
flat,emaar mgf emerald floors premier★,sector 65,2.79,14127.0,4,4,3+,2.0,Relatively New,1975.0,1,1,0,0,0,0,174,"28.4030° N, 77.0690° E",28.403,77.069
flat,shri ram apartments,sector 12,0.36,421.0,2,2,1,4.0,Relatively New,8550.0,0,0,0,0,0,2,0,"28.4723° N, 77.0320° E",28.4723,77.032
flat,ramprastha the edge towers★,sector 37d,0.75,5319.0,2,2,3,19.0,Moderately Old,1410.0,0,0,0,0,0,2,0,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,corona gracieux,sector 76,1.46,5499.0,4,6,3+,8.0,New Property,2398.0,0,1,0,0,0,2,58,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,umang monsoon breeze,sector 78,0.95,5491.0,3,3,2,9.0,Relatively New,1730.0,0,0,0,0,0,1,65,"28.3733° N, 76.9729° E",28.3733,76.9729
flat,parsvnath green ville★,sector 48,3.3,9985.0,5,5,3+,4.0,Old Property,3305.0,0,1,0,0,0,2,71,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,birla navya,sector 63a,2.1,16667.0,2,2,2,2.0,Under Construction,1260.0,0,0,0,0,0,2,38,"28.3923° N, 77.0888° E",28.3923,77.0888
flat,ireo the grand arch★,sector 58,3.83,21577.0,3,4,2,10.0,Relatively New,2000.0,1,1,0,0,0,1,174,"28.4200° N, 77.1105° E",28.42,77.1105
flat,dlf new town heights★,sector 91,1.75,7403.0,4,4,3+,9.0,Relatively New,2139.0,0,1,0,1,0,2,88,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,bhawna cghs,sector 43,3.25,10156.0,4,4,3+,12.0,Moderately Old,3115.0,0,0,0,1,0,1,119,"28.4629° N, 77.0772° E",28.4629,77.0772
house,independent,sector 105,0.55,98.0,4,4,0,2.0,Relatively New,56122.0,0,0,0,0,0,2,0,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,2.0,New Property,1022.0,0,0,0,0,0,2,45,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,satya element one,sector 49,0.8,1235.0,1,1,1,0.0,Moderately Old,6480.0,0,0,0,0,0,2,0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,ss the leaf★,sector 85,1.25,7180.0,2,2,2,16.0,Relatively New,1741.0,0,0,0,0,0,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,spaze privvy the address★,sector 93,1.45,8033.0,3,4,2,12.0,Relatively New,1350.0,0,0,0,0,0,1,96,"28.4153° N, 76.9326° E",28.4153,76.9326
flat,emaar imperial gardens★,sector 102,1.91,9550.0,3,4,2,17.0,Relatively New,1587.0,1,1,0,0,0,1,152,"28.4750° N, 76.9715° E",28.475,76.9715
flat,ambience creacions,sector 22,4.8,19200.0,4,6,3+,10.0,New Property,2500.0,0,1,0,1,0,0,49,"28.5072° N, 77.0640° E",28.5072,77.064
flat,raheja vedaanta★,sector 108,1.5,5263.0,3,4,0,12.0,Relatively New,2850.0,0,0,0,0,0,2,0,"28.5134° N, 76.9830° E",28.5134,76.983
flat,bestech park view residency★,sector 2,1.51,7869.0,3,4,3+,7.0,Moderately Old,1738.0,0,1,0,0,0,1,84,"28.5095° N, 77.0320° E",28.5095,77.032
flat,kamroon court,sector 43,2.75,13750.0,3,4,3+,5.0,Moderately Old,2000.0,0,1,0,0,1,1,49,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,imperia elvedor,sector 37c,0.55,913.0,1,1,0,5.0,Relatively New,6021.0,0,0,0,0,0,2,0,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,mm golfestate★,sector 65,6.15,15999.0,3,5,3+,1.0,Relatively New,3844.0,0,1,0,0,0,0,49,"28.4030° N, 77.0690° E",28.403,77.069
flat,imt view society,manesar,0.95,3652.0,3,4,3,6.0,Moderately Old,2232.0,0,1,0,0,0,2,81,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,signature global city,sector 37d,1.1,9839.0,2,2,2,4.0,Relatively New,1118.0,0,0,0,0,0,2,59,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,lotus homz★,sector 111,0.6,939.0,2,2,3,9.0,New Property,6390.0,0,0,0,0,0,2,52,"28.5238° N, 77.0320° E",28.5238,77.032
flat,alpha corp gurgaonone ★,sector 84,1.49,7590.0,3,3,3,6.0,Relatively New,1833.0,0,1,0,0,0,2,28,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,godrej habitat,sector 3,1.1,10407.0,2,2,2,14.0,Under Construction,956.0,0,0,0,0,0,2,60,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,mm golfestate★,sector 65,5.0,16667.0,3,3,3,2.0,Relatively New,3245.0,0,1,0,0,0,1,174,"28.4030° N, 77.0690° E",28.403,77.069
flat,experion the heartsong★,sector 108,1.55,7738.0,3,3,3+,7.0,Relatively New,1750.0,0,1,0,1,0,1,174,"28.5134° N, 76.9830° E",28.5134,76.983
flat,satya the hermitage★,sector 103,1.12,5625.0,3,4,3+,9.0,New Property,1734.0,0,1,0,0,0,2,49,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,ramsons kshitij★,sector 95,0.22,719.0,1,1,1,2.0,New Property,308.0,0,0,0,0,0,2,0,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,ramprastha the edge towers★,sector 37d,0.98,5537.0,3,3,3+,5.0,Relatively New,1675.0,0,0,0,1,0,2,174,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,uphaar homes,sector 105,0.45,526.0,3,2,1,1.0,Relatively New,8550.0,0,0,0,0,0,1,44,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,ireo the grand arch★,sector 58,3.8,17560.0,3,4,1,19.0,Moderately Old,2164.0,0,1,0,0,0,1,167,"28.4200° N, 77.1105° E",28.42,77.1105
flat,umang winter hills★,sector 77,1.0,7502.0,2,2,2,3.0,New Property,1333.0,0,0,0,0,0,2,74,"28.3801° N, 76.9845° E",28.3801,76.9845
flat,paras dews,sector 106,1.1,9735.0,3,4,3+,8.0,Relatively New,1186.0,0,1,0,0,0,1,174,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,saan verdante,sector 95,2.0,10178.0,3,4,3+,5.0,New Property,1964.0,0,1,0,0,0,2,49,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,paras dews,sector 106,1.35,7297.0,4,4,3+,18.0,Relatively New,2100.0,0,1,0,1,0,1,174,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,ansal heights,sector 86,1.3,4666.0,4,6,2,11.0,New Property,2521.0,0,1,0,0,1,2,86,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,experion the heartsong★,sector 108,2.0,8554.0,3,3,3+,14.0,Relatively New,2116.0,0,1,0,0,0,2,95,"28.5134° N, 76.9830° E",28.5134,76.983
flat,suncity avenue,sector 76,0.55,825.0,2,2,2,9.0,Under Construction,6669.0,0,0,0,0,0,2,26,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,godrej summit★,sector 104,0.82,1095.0,2,2,3,12.0,Relatively New,7488.0,1,0,0,0,0,2,120,"28.4788° N, 76.9960° E",28.4788,76.996
flat,dlf new town heights ★,sector 90,1.88,6894.0,4,4,3+,20.0,Relatively New,2726.0,0,1,0,1,0,2,145,"28.4085° N, 76.9369° E",28.4085,76.9369
